"POINT (-0.063531 51.504719)", "Hermitage Court, Wapping"
"POINT (-0.070542 51.505697)", "St. Katharine's Way, Tower"
"POINT (-0.055167 51.508447)", "Garnet Street, Shadwell"
"POINT (-0.021582 51.487679)", "Napier Avenue, Millwall"
"POINT (-0.014409 51.49447)", "East Ferry Road, Cubitt Town"
"POINT (-0.144664 51.538071)", "Parkway, Camden Town"
"POINT (-0.145393 51.542138)", "Castlehaven Road, Camden Town"
"POINT (-0.057544 51.504749)", "Wapping Lane, Wapping"
"POINT (-0.03338 51.535179)", "Gunmakers Lane, Old Ford"
"POINT (-0.029138 51.516196)", "Burdett Road, Mile End"
"POINT (-0.038775 51.516)", "Aston Street, Stepney"
"POINT (-0.138853 51.541603)", "Bonny Street, Camden Town"
"POINT (-0.071881 51.534776)", "Thurtle Road, Haggerston"
"POINT (-0.052099 51.51417)", "St. Mary & St. Michael Church, Stepney"
"POINT (-0.08249 51.53558)", "Pitfield Street North,Hoxton"
"POINT (-0.076341 51.534464)", "Whiston Road, Haggerston"
"POINT (-0.030556 51.523538)", "Southern Grove, Bow"
"POINT (-0.022694 51.521564)", "Cantrell Road, Bow"
"POINT (-0.020467 51.513757)", "Lindfield Street, Poplar"
"POINT (-0.025492 51.530535)", "Mostyn Grove, Bow"
"POINT (-0.028155 51.533283)", "Hewison Street, Old Ford"
"POINT (-0.027616 51.529452)", "Malmesbury Road, Bow"
"POINT (-0.019355 51.496137)", "Millharbour, Millwall"
"POINT (-0.038557 51.541515)", "Gascoyne Road, Victoria Park"
"POINT (-0.020157 51.499041)", "Lightermans Road, Millwall"
"POINT (-0.009205 51.489096)", "Stebondale Street, Cubitt Town"
"POINT (-0.018716 51.49109)", "Spindrift Avenue, Millwall"
"POINT (-0.04667 51.521889)", "Stepney Green Station, Stepney"
"POINT (-0.058005 51.527152)", "Pott Street, Bethnal Green"
"POINT (-0.038986 51.512871)", "Flamborough Street, Limehouse"
"POINT (-0.009001 51.487129)", "Saunders Ness Road, Cubitt Town"
"POINT (-0.047784 51.51328)", "Albert Gardens, Stepney"
"POINT (-0.013258 51.528828)", "Bromley High Street, Bow"
"POINT (-0.048017 51.531127)", "Old Ford Road, Bethnal Green"
"POINT (-0.069543 51.525645)", "Granby Street, Shoreditch"
"POINT (-0.025626 51.511811)", "Canton Street, Poplar"
"POINT (-0.058681 51.506946)", "Reardon Street, Wapping"
"POINT (-0.065006 51.508622)", "Pennington Street, Wapping"
"POINT (-0.041378 51.522507)", "Queen Mary's, Mile End"
"POINT (-0.032267 51.525501)", "Maplin Street, Mile End"
"POINT (-0.016251 51.50196)", "South Quay East, Canary Wharf"
"POINT (-0.018703 51.528169)", "Bow Church Station, Bow"
"POINT (-0.015578 51.52512)", "Devons Road, Bow"
"POINT (-0.027581 51.526578)", "Merchant Street, Bow"
"POINT (-0.025296 51.527058)", "Bow Road Station, Bow"
"POINT (-0.021345 51.519265)", "Furze Green, Bow"
"POINT (-0.05438 51.520019)", "Ansell House, Stepney"
"POINT (-0.054883 51.522561)", "Cephas Street, Bethnal Green"
"POINT (-0.049591 51.53341)", "Bonner Gate, Victoria Park"
"POINT (-0.051394 51.520893)", "Cleveland Way, Stepney"
"POINT (-0.009506 51.496454)", "St. John's Park, Cubitt Town"
"POINT (-0.026768 51.520398)", "Ackroyd Drive, Bow"
"POINT (-0.075855 51.517475)", "Bell Lane, Liverpool Street"
"POINT (-0.059091 51.528692)", "Clarkson Street, Bethnal Green"
"POINT (-0.074431 51.519362)", "Fournier Street, Whitechapel"
"POINT (-0.090075 51.517842)", "Fore Street, Guildhall"
"POINT (-0.025996 51.509303)", "Westferry DLR, Limehouse"
"POINT (-0.053558 51.511066)", "Sutton Street, Shadwell"
"POINT (-0.06142 51.532091)", "Pritchard's Road, Bethnal Green"
"POINT (-0.055656 51.514222)", "Watney Market, Stepney"
"POINT (-0.155525 51.516204)", "Portman Square, Marylebone"
"POINT (-0.211316 51.500088)", "Russell Gardens, Olympia"
"POINT (-0.014438 51.5112)", "Chrisp Street Market, Poplar"
"POINT (-0.20464 51.470131)", "Hurlingham Park, Parsons Green"
"POINT (-0.223868 51.496664)", "Little Brook Green, Brook Green"
"POINT (-0.167029 51.460333)", "Abyssinia Close, Clapham Junction"
"POINT (-0.165297 51.461923)", "Limburg Road, Clapham Junction"
"POINT (-0.077178 51.514449)", "Houndsditch, Aldgate"
"POINT (-0.183165 51.474665)", "Imperial Wharf Station, Sands End"
"POINT (-0.173009 51.495898)", "Victoria & Albert Museum, South Kensington"
"POINT (-0.197609 51.483911)", "Halford Road, West Kensington"
"POINT (-0.02163 51.540311)", "Monier Road, Hackney Wick"
"POINT (-0.009935 51.546326)", "East Village, Queen Elizabeth Olympic Park"
"POINT (-0.01051 51.54094)", "Aquatic Centre, Queen Elizabeth Olympic Park"
"POINT (-0.015717 51.549369)", "Lee Valley VeloPark, Queen Elizabeth Olympic Park"
"POINT (-0.014691 51.546805)", "Timber Lodge, Queen Elizabeth Olympic Park"
"POINT (-0.020542 51.544909)", "Copper Box Arena, Queen Elizabeth Olympic Park"
"POINT (-0.011889 51.538718)", "Podium, Queen Elizabeth Olympic Park"
"POINT (-0.00481 51.541793)", "Stratford Station, Stratford"
"POINT (-0.10454 51.505461)", "Blackfriars Road, Southwark"
"POINT (-0.119558 51.528279)", "Cromer Street, Bloomsbury"
"POINT (-0.147804 51.461376)", "Victoria Rise, Clapham Common"
"POINT (-0.131861 51.527068)", "Euston Square Gardens, Euston"
"POINT (-0.126409 51.524)", "Coram Street, Bloomsbury"
"POINT (-0.128279 51.5293)", "Ossulston Street, Somers Town"
"POINT (-0.122299 51.530199)", "Birkenhead Street, King's Cross"
"POINT (-0.137598 51.497698)", "Kings Gate House, Westminster"
"POINT (-0.149035 51.481121)", "Sopwith Way, Battersea Park"
"POINT (-0.098031 51.505224)", "Lavington Street, Bankside"
"POINT (-0.118256 51.47659)", "Albert Square, Stockwell"
"POINT (-0.098341 51.505409)", "Southwark Street, Bankside"
"POINT (-0.125078 51.534667)", "Good's Way, King's Cross"
"POINT (-0.200804 51.520509)", "The Metropolitan, Portobello"
"POINT (-0.124807 51.53724)", "Handyside Street, King's Cross"
"POINT (-0.208888 51.5212)", "Bevington Road West, North Kensington"
"POINT (-0.130908 51.464995)", "Gauden Road, Clapham"
"POINT (-0.118272 51.516277)", "Lincoln's Inn Fields, Holborn"
"POINT (-0.098807 51.506725)", "Tate Modern, Bankside"
"POINT (-0.027772 51.505703)", "Westferry Circus, Canary Wharf"
"POINT (-0.022606 51.548731)", "Here East North, Queen Elizabeth Olympic Park"
"POINT (-0.122759 51.487807)", "New Spring Gardens Walk, Vauxhall"
"POINT (-0.12367 51.471433)", "Clapham Road, Lingham Street, Stockwell"
"POINT (-0.116628 51.500089)", "Lambeth Palace Road, Waterloo"
"POINT (-0.020597 51.546532)", "Here East South, Queen Elizabeth Olympic Park"
"POINT (-0.138212 51.481335)", "Riverlight South, Nine Elms"
"POINT (-0.123823 51.501513)", "Westminster Pier, Westminster"
"POINT (-0.114842 51.50621)", "Belvedere Road 2, South Bank"
"POINT (-0.091938 51.492807)", "Victory Place, Walworth"
"POINT (-0.147714 51.483507)", "Battersea Power Station, Battersea Park"
"POINT (-0.142943 51.496863)", "Allington Street, Victoria"
"POINT (-0.111471 51.479601)", "Cranmer Road, Stockwell"
"POINT (-0.11258 51.473874)", "Normandy Road, Stockwell"
"POINT (-0.112686 51.469217)", "Wynne Road, Stockwell"
"POINT (-0.119022 51.469202)", "Sidney Road, Stockwell"
"POINT (-0.113179 51.466232)", "St John's Crescent, Brixton"
"POINT (-0.115781 51.464019)", "Ferndale Road, Brixton"
"POINT (-0.115375 51.460232)", "Saltoun Road, Brixton"
"POINT (-0.147857 51.477966)", "Gas Holders, Battersea Park"
"POINT (-0.104947 51.516785)", "Farringdon Street, Holborn"
"POINT (-0.125441 51.541596)", "York Way, Kings Cross"
"POINT (-0.091401 51.518093)", "Fore Street Avenue, Guildhall"
"POINT (-0.106823 51.508033)", "Sea Containers, South Bank"
"POINT (-0.068981 51.498585)", "George Row, Bermondsey"
"POINT (-0.074704 51.500845)", "Tower Wharf, Bermondsey"
"POINT (-0.108322 51.510981)", "Temple Gardens, Temple"
"POINT (-0.04915 51.498439)", "Canada Water Station, Rotherhithe"
"POINT (-0.063471 51.497995)", "Bermondsey Station, Bermondsey"
"POINT (-0.10997 51.529163)", "River Street , Clerkenwell"
"POINT (-0.197574 51.499606)", "Phillimore Gardens, Kensington"
"POINT (-0.084605 51.521283)", "Christopher Street, Liverpool Street"
"POINT (-0.120973 51.530059)", "St. Chad's Street, King's Cross"
"POINT (-0.156876 51.49313)", "Sedding Street, Sloane Square"
"POINT (-0.144228 51.518117)", "Broadcasting House, Marylebone"
"POINT (-0.168074 51.5343)", "Charlbert Street, St. John's Wood"
"POINT (-0.183486 51.529857)", "Maida Vale, Maida Vale"
"POINT (-0.09644 51.507385)", "New Globe Walk, Bankside"
"POINT (-0.092754 51.505974)", "Park Street, Bankside"
"POINT (-0.122502 51.523951)", "Brunswick Square, Bloomsbury"
"POINT (-0.130431 51.52168)", "Malet Street, Bloomsbury"
"POINT (-0.136039 51.519914)", "Scala Street, Fitzrovia"
"POINT (-0.123616 51.529943)", "Belgrove Street , King's Cross"
"POINT (-0.127854 51.517727)", "Great Russell Street, Bloomsbury"
"POINT (-0.125979 51.526357)", "Cartwright Gardens , Bloomsbury"
"POINT (-0.109006 51.521661)", "Hatton Wall, Holborn"
"POINT (-0.122219 51.51477)", "Drury Lane, Covent Garden"
"POINT (-0.131161 51.52505)", "Taviton Street, Bloomsbury"
"POINT (-0.136052 51.527326)", "Drummond Street , Euston"
"POINT (-0.062806 51.539834)", "Lansdowne Drive, Hackney Central"
"POINT (-0.114079 51.522264)", "Northington Street , Holborn"
"POINT (-0.119123 51.519435)", "Red Lion Square, Holborn"
"POINT (-0.124678 51.51908)", "British Museum, Bloomsbury"
