"LINESTRING (-0.11655 51.51824,-0.10997 51.529163", "From Red Lion Street, Holborn to River Street , Clerkenwell"
"LINESTRING (-0.120202 51.523346,-0.10997 51.529163", "From Guilford Street , Bloomsbury to River Street , Clerkenwell"
"LINESTRING (-0.112824 51.503791,-0.10997 51.529163", "From Waterloo Station 3, Waterloo to River Street , Clerkenwell"
"LINESTRING (-0.106408 51.530515,-0.10997 51.529163", "From Chadwell Street, Angel to River Street , Clerkenwell"
"LINESTRING (-0.026768 51.520398,-0.10997 51.529163", "From Ackroyd Drive, Bow to River Street , Clerkenwell"
"LINESTRING (-0.124678 51.51908,-0.10997 51.529163", "From British Museum, Bloomsbury to River Street , Clerkenwell"
"LINESTRING (-0.126021 51.508103,-0.10997 51.529163", "From Craven Street, Strand to River Street , Clerkenwell"
"LINESTRING (-0.106992 51.534504,-0.10997 51.529163", "From Liverpool Road (N1 Centre), Angel to River Street , Clerkenwell"
"LINESTRING (-0.088285 51.519069,-0.10997 51.529163", "From Moorfields, Moorgate to River Street , Clerkenwell"
"LINESTRING (-0.089887 51.520858,-0.10997 51.529163", "From Bunhill Row, Moorgate to River Street , Clerkenwell"
"LINESTRING (-0.119123 51.519435,-0.10997 51.529163", "From Red Lion Square, Holborn to River Street , Clerkenwell"
"LINESTRING (-0.048017 51.531127,-0.10997 51.529163", "From Old Ford Road, Bethnal Green to River Street , Clerkenwell"
"LINESTRING (-0.038986 51.512871,-0.10997 51.529163", "From Flamborough Street, Limehouse to River Street , Clerkenwell"
"LINESTRING (-0.048017 51.531127,-0.10997 51.529163", "From Old Ford Road, Bethnal Green to River Street , Clerkenwell"
"LINESTRING (-0.13011 51.513527,-0.10997 51.529163", "From Moor Street, Soho to River Street , Clerkenwell"
"LINESTRING (-0.106992 51.534504,-0.10997 51.529163", "From Liverpool Road (N1 Centre), Angel to River Street , Clerkenwell"
"LINESTRING (-0.132053 51.518587,-0.10997 51.529163", "From Bayley Street , Bloomsbury to River Street , Clerkenwell"
"LINESTRING (-0.126021 51.508103,-0.10997 51.529163", "From Craven Street, Strand to River Street , Clerkenwell"
"LINESTRING (-0.126021 51.508103,-0.10997 51.529163", "From Craven Street, Strand to River Street , Clerkenwell"
"LINESTRING (-0.10997 51.529163,-0.10997 51.529163", "From River Street , Clerkenwell to River Street , Clerkenwell"
"LINESTRING (-0.104708 51.52326,-0.10997 51.529163", "From Clerkenwell Green, Clerkenwell to River Street , Clerkenwell"
"LINESTRING (-0.158264 51.514577,-0.10997 51.529163", "From Old Quebec Street, Marylebone to River Street , Clerkenwell"
"LINESTRING (-0.132328 51.515631,-0.10997 51.529163", "From Soho Square , Soho to River Street , Clerkenwell"
"LINESTRING (-0.158264 51.514577,-0.10997 51.529163", "From Old Quebec Street, Marylebone to River Street , Clerkenwell"
"LINESTRING (-0.200742 51.502319,-0.197574 51.499606", "From Holland Park, Kensington to Phillimore Gardens, Kensington"
"LINESTRING (-0.166221 51.490714,-0.197574 51.499606", "From Chelsea Green, Chelsea to Phillimore Gardens, Kensington"
"LINESTRING (-0.061698 51.4954,-0.197574 51.499606", "From Clements Road, Bermondsey to Phillimore Gardens, Kensington"
"LINESTRING (-0.178656 51.501432,-0.197574 51.499606", "From Kensington Gore, Knightsbridge to Phillimore Gardens, Kensington"
"LINESTRING (-0.187842 51.509908,-0.197574 51.499606", "From Black Lion Gate, Kensington Gardens to Phillimore Gardens, Kensington"
"LINESTRING (-0.199004 51.506584,-0.197574 51.499606", "From Campden Hill Road, Notting Hill to Phillimore Gardens, Kensington"
"LINESTRING (-0.200742 51.502319,-0.197574 51.499606", "From Holland Park, Kensington to Phillimore Gardens, Kensington"
"LINESTRING (-0.174554 51.499917,-0.197574 51.499606", "From Exhibition Road, Knightsbridge to Phillimore Gardens, Kensington"
"LINESTRING (-0.209494 51.498157,-0.197574 51.499606", "From Kensington Olympia Station, Olympia to Phillimore Gardens, Kensington"
"LINESTRING (-0.217995 51.487285,-0.197574 51.499606", "From Charing Cross Hospital, Hammersmith to Phillimore Gardens, Kensington"
"LINESTRING (-0.165471 51.498884,-0.197574 51.499606", "From Montpelier Street, Knightsbridge to Phillimore Gardens, Kensington"
